t_s,U1_mV,U2_mV,U3_mV
0.008205,173845.229,151160.097,-325005.325
0.008333,162634.560,162634.560,-325269.119
0.008462,151160.097,173845.229,-325005.325
0.008590,139440.452,184773.920,-324214.372
0.008718,127494.634,195402.907,-322897.541
0.008846,115342.019,205714.950,-321056.970
0.008974,103002.319,215693.323,-318695.643
0.009103,90495.549,225321.840,-315817.390
0.009231,77841.995,234584.885,-312426.880
0.009359,65062.181,243467.432,-308529.613
0.009487,52176.836,251955.074,-304131.910
0.009615,39206.860,260034.044,-299240.903
0.009744,26173.290,267691.237,-293864.527
0.009872,13097.267,274914.235,-288011.502
0.010000,0.000,281691.320,-281691.320
0.010128,-13097.267,288011.502,-274914.235
0.010256,-26173.290,293864.527,-267691.237
0.010385,-39206.860,299240.903,-260034.044
0.010513,-52176.836,304131.910,-251955.074
0.010641,-65062.181,308529.613,-243467.432
0.010769,-77841.995,312426.880,-234584.885
0.010897,-90495.549,315817.390,-225321.840
0.011026,-103002.319,318695.643,-215693.323
0.011154,-115342.019,321056.970,-205714.950
0.011282,-127494.634,322897.541,-195402.907
0.011410,-139440.452,324214.372,-184773.920
0.011538,-151160.097,325005.325,-173845.229
0.011667,-162634.560,325269.119,-162634.560
0.011795,-173845.229,325005.325,-151160.097
0.011923,-184773.920,324214.372,-139440.452
0.012051,-195402.907,322897.541,-127494.634
0.012179,-205714.950,321056.970,-115342.019
0.012308,-215693.323,318695.643,-103002.319
0.012436,-225321.840,315817.390,-90495.549
0.012564,-234584.885,312426.880,-77841.995
0.012692,-243467.432,308529.613,-65062.181
0.012821,-251955.074,304131.910,-52176.836
0.012949,-260034.044,299240.903,-39206.860
0.013077,-267691.237,293864.527,-26173.290
0.013205,-274914.235,288011.502,-13097.267
0.013333,-281691.320,281691.320,-0.000
0.013462,-288011.502,274914.235,13097.267
0.013590,-293864.527,267691.237,26173.290
0.013718,-299240.903,260034.044,39206.860
0.013846,-304131.910,251955.074,52176.836
0.013974,-308529.613,243467.432,65062.181
0.014103,-312426.880,234584.885,77841.995
0.014231,-315817.390,225321.840,90495.549
0.014359,-318695.643,215693.323,103002.319
0.014487,-321056.970,205714.950,115342.019
0.014615,-322897.541,195402.907,127494.634
0.014744,-324214.372,184773.920,139440.452
0.014872,-325005.325,173845.229,151160.097
0.015000,-325269.119,162634.560,162634.560
0.015128,-325005.325,151160.097,173845.229
0.015256,-324214.372,139440.452,184773.920
0.015385,-322897.541,127494.634,195402.907
0.015513,-321056.970,115342.019,205714.950
0.015641,-318695.643,103002.319,215693.323
0.015769,-315817.390,90495.549,225321.840
0.015897,-312426.880,77841.995,234584.885
0.016026,-308529.613,65062.181,243467.432
0.016154,-304131.910,52176.836,251955.074
0.016282,-299240.903,39206.860,260034.044
0.016410,-293864.527,26173.290,267691.237
0.016538,-288011.502,13097.267,274914.235
0.016667,-281691.320,-0.000,281691.320
0.016795,-274914.235,-13097.267,288011.502
0.016923,-267691.237,-26173.290,293864.527
0.017051,-260034.044,-39206.860,299240.903
0.017179,-251955.074,-52176.836,304131.910
0.017308,-243467.432,-65062.181,308529.613
0.017436,-234584.885,-77841.995,312426.880
0.017564,-225321.840,-90495.549,315817.390
0.017692,-215693.323,-103002.319,318695.643
0.017821,-205714.950,-115342.019,321056.970
0.017949,-195402.907,-127494.634,322897.541
0.018077,-184773.920,-139440.452,324214.372
0.018205,-173845.229,-151160.097,325005.325
0.018333,-162634.560,-162634.560,325269.119
0.018462,-151160.097,-173845.229,325005.325
0.018590,-139440.452,-184773.920,324214.372
0.018718,-127494.634,-195402.907,322897.541
0.018846,-115342.019,-205714.950,321056.970
0.018974,-103002.319,-215693.323,318695.643
0.019103,-90495.549,-225321.840,315817.390
0.019231,-77841.995,-234584.885,312426.880
0.019359,-65062.181,-243467.432,308529.613
0.019487,-52176.836,-251955.074,304131.910
0.019615,-39206.860,-260034.044,299240.903
0.019744,-26173.290,-267691.237,293864.527
0.019872,-13097.267,-274914.235,288011.502
0.020000,0.000,-281691.320,281691.320
0.020128,13097.267,-288011.502,274914.235
0.020256,26173.290,-293864.527,267691.237
0.020385,39206.860,-299240.903,260034.044
0.020513,52176.836,-304131.910,251955.074
0.020641,65062.181,-308529.613,243467.432
0.020769,77841.995,-312426.880,234584.885
0.020897,90495.549,-315817.390,225321.840
0.021026,103002.319,-318695.643,215693.323
0.021154,115342.019,-321056.970,205714.950
0.021282,127494.634,-322897.541,195402.907
0.021410,139440.452,-324214.372,184773.920
0.021538,151160.097,-325005.325,173845.229
0.021667,162634.560,-325269.119,162634.560
0.021795,173845.229,-325005.325,151160.097
0.021923,184773.920,-324214.372,139440.452
0.022051,195402.907,-322897.541,127494.634
0.022179,205714.950,-321056.970,115342.019
0.022308,215693.323,-318695.643,103002.319
0.022436,225321.840,-315817.390,90495.549
0.022564,234584.885,-312426.880,77841.995
0.022692,243467.432,-308529.613,65062.181
0.022821,251955.074,-304131.910,52176.836
0.022949,260034.044,-299240.903,39206.860
0.023077,267691.237,-293864.527,26173.290
0.023205,274914.235,-288011.502,13097.267
0.023333,281691.320,-281691.320,-0.000
0.023462,288011.502,-274914.235,-13097.267
0.023590,293864.527,-267691.237,-26173.290
0.023718,299240.903,-260034.044,-39206.860
0.023846,304131.910,-251955.074,-52176.836
0.023974,308529.613,-243467.432,-65062.181
0.024103,312426.880,-234584.885,-77841.995
0.024231,315817.390,-225321.840,-90495.549
0.024359,318695.643,-215693.323,-103002.319
0.024487,321056.970,-205714.950,-115342.019
0.024615,322897.541,-195402.907,-127494.634
0.024744,324214.372,-184773.920,-139440.452
0.024872,325005.325,-173845.229,-151160.097
0.025000,325269.119,-162634.560,-162634.560
0.025128,325005.325,-151160.097,-173845.229
0.025256,324214.372,-139440.452,-184773.920
0.025385,322897.541,-127494.634,-195402.907
0.025513,321056.970,-115342.019,-205714.950
0.025641,318695.643,-103002.319,-215693.323
0.025769,315817.390,-90495.549,-225321.840
0.025897,312426.880,-77841.995,-234584.885
0.026026,308529.613,-65062.181,-243467.432
0.026154,304131.910,-52176.836,-251955.074
0.026282,299240.903,-39206.860,-260034.044
0.026410,293864.527,-26173.290,-267691.237
0.026538,288011.502,-13097.267,-274914.235
0.026667,281691.320,0.000,-281691.320
0.026795,274914.235,13097.267,-288011.502
0.026923,267691.237,26173.290,-293864.527
0.027051,260034.044,39206.860,-299240.903
0.027179,251955.074,52176.836,-304131.910
0.027308,243467.432,65062.181,-308529.613
0.027436,234584.885,77841.995,-312426.880
0.027564,225321.840,90495.549,-315817.390
0.027692,215693.323,103002.319,-318695.643
0.027821,205714.950,115342.019,-321056.970
0.027949,195402.907,127494.634,-322897.541
0.028077,184773.920,139440.452,-324214.372
0.028205,173845.229,151160.097,-325005.325
0.028333,162634.560,162634.560,-325269.119
0.028462,151160.097,173845.229,-325005.325
0.028590,139440.452,184773.920,-324214.372
0.028718,127494.634,195402.907,-322897.541
0.028846,115342.019,205714.950,-321056.970
0.028974,103002.319,215693.323,-318695.643
0.029103,90495.549,225321.840,-315817.390
0.029231,77841.995,234584.885,-312426.880
0.029359,65062.181,243467.432,-308529.613
0.029487,52176.836,251955.074,-304131.910
0.029615,39206.860,260034.044,-299240.903
0.029744,26173.290,267691.237,-293864.527
0.029872,13097.267,274914.235,-288011.502
0.030000,-0.000,281691.320,-281691.320
0.030128,-13097.267,288011.502,-274914.235
0.030256,-26173.290,293864.527,-267691.237
0.030385,-39206.860,299240.903,-260034.044
0.030513,-52176.836,304131.910,-251955.074
0.030641,-65062.181,308529.613,-243467.432
0.030769,-77841.995,312426.880,-234584.885
0.030897,-90495.549,315817.390,-225321.840
0.031026,-103002.319,318695.643,-215693.323
0.031154,-115342.019,321056.970,-205714.950
0.031282,-127494.634,322897.541,-195402.907
0.031410,-139440.452,324214.372,-184773.920
0.031538,-151160.097,325005.325,-173845.229
0.031667,-162634.560,325269.119,-162634.560
0.031795,-173845.229,325005.325,-151160.097
0.031923,-184773.920,324214.372,-139440.452
0.032051,-195402.907,322897.541,-127494.634
0.032179,-205714.950,321056.970,-115342.019
0.032308,-215693.323,318695.643,-103002.319
0.032436,-225321.840,315817.390,-90495.549
0.032564,-234584.885,312426.880,-77841.995
0.032692,-243467.432,308529.613,-65062.181
0.032821,-251955.074,304131.910,-52176.836
0.032949,-260034.044,299240.903,-39206.860
0.033077,-267691.237,293864.527,-26173.290
0.033205,-274914.235,288011.502,-13097.267
0.033333,-281691.320,281691.320,0.000
0.033462,-288011.502,274914.235,13097.267
0.033590,-293864.527,267691.237,26173.290
0.033718,-299240.903,260034.044,39206.860
0.033846,-304131.910,251955.074,52176.836
0.033974,-308529.613,243467.432,65062.181
0.034103,-312426.880,234584.885,77841.995
0.034231,-315817.390,225321.840,90495.549
0.034359,-318695.643,215693.323,103002.319
0.034487,-321056.970,205714.950,115342.019
0.034615,-322897.541,195402.907,127494.634
0.034744,-324214.372,184773.920,139440.452
0.034872,-325005.325,173845.229,151160.097
0.035000,-325269.119,162634.560,162634.560
0.035128,-325005.325,151160.097,173845.229
0.035256,-324214.372,139440.452,184773.920
0.035385,-322897.541,127494.634,195402.907
0.035513,-321056.970,115342.019,205714.950
0.035641,-318695.643,103002.319,215693.323
0.035769,-315817.390,90495.549,225321.840
0.035897,-312426.880,77841.995,234584.885
0.036026,-308529.613,65062.181,243467.432
0.036154,-304131.910,52176.836,251955.074
0.036282,-299240.903,39206.860,260034.044
0.036410,-293864.527,26173.290,267691.237
0.036538,-288011.502,13097.267,274914.235
0.036667,-281691.320,-0.000,281691.320
0.036795,-274914.235,-13097.267,288011.502
0.036923,-267691.237,-26173.290,293864.527
0.037051,-260034.044,-39206.860,299240.903
0.037179,-251955.074,-52176.836,304131.910
0.037308,-243467.432,-65062.181,308529.613
0.037436,-234584.885,-77841.995,312426.880
0.037564,-225321.840,-90495.549,315817.390
0.037692,-215693.323,-103002.319,318695.643
0.037821,-205714.950,-115342.019,321056.970
0.037949,-195402.907,-127494.634,322897.541
0.038077,-184773.920,-139440.452,324214.372
0.038205,-173845.229,-151160.097,325005.325
0.038333,-162634.560,-162634.560,325269.119
0.038462,-151160.097,-173845.229,325005.325
0.038590,-139440.452,-184773.920,324214.372
0.038718,-127494.634,-195402.907,322897.541
0.038846,-115342.019,-205714.950,321056.970
0.038974,-103002.319,-215693.323,318695.643
0.039103,-90495.549,-225321.840,315817.390
0.039231,-77841.995,-234584.885,312426.880
0.039359,-65062.181,-243467.432,308529.613
0.039487,-52176.836,-251955.074,304131.910
0.039615,-39206.860,-260034.044,299240.903
0.039744,-26173.290,-267691.237,293864.527
0.039872,-13097.267,-274914.235,288011.502
0.040000,0.000,-281691.320,281691.320
0.040128,13097.267,-288011.502,274914.235
0.040256,26173.290,-293864.527,267691.237
0.040385,39206.860,-299240.903,260034.044
0.040513,52176.836,-304131.910,251955.074
0.040641,65062.181,-308529.613,243467.432
0.040769,77841.995,-312426.880,234584.885
0.040897,90495.549,-315817.390,225321.840
0.041026,103002.319,-318695.643,215693.323
0.041154,115342.019,-321056.970,205714.950
0.041282,127494.634,-322897.541,195402.907
0.041410,139440.452,-324214.372,184773.920
0.041538,151160.097,-325005.325,173845.229
0.041667,162634.560,-325269.119,162634.560
0.041795,173845.229,-325005.325,151160.097
0.041923,184773.920,-324214.372,139440.452
0.042051,195402.907,-322897.541,127494.634
0.042179,205714.950,-321056.970,115342.019
0.042308,215693.323,-318695.643,103002.319
0.042436,225321.840,-315817.390,90495.549
0.042564,234584.885,-312426.880,77841.995
0.042692,243467.432,-308529.613,65062.181
0.042821,251955.074,-304131.910,52176.836
0.042949,260034.044,-299240.903,39206.860
0.043077,267691.237,-293864.527,26173.290
0.043205,274914.235,-288011.502,13097.267
0.043333,281691.320,-281691.320,-0.000
0.043462,288011.502,-274914.235,-13097.267
0.043590,293864.527,-267691.237,-26173.290
0.043718,299240.903,-260034.044,-39206.860
0.043846,304131.910,-251955.074,-52176.836
0.043974,308529.613,-243467.432,-65062.181
0.044103,312426.880,-234584.885,-77841.995
0.044231,315817.390,-225321.840,-90495.549
0.044359,318695.643,-215693.323,-103002.319
0.044487,321056.970,-205714.950,-115342.019
0.044615,322897.541,-195402.907,-127494.634
0.044744,324214.372,-184773.920,-139440.452
0.044872,325005.325,-173845.229,-151160.097
0.045000,325269.119,-162634.560,-162634.560
0.045128,325005.325,-151160.097,-173845.229
0.045256,324214.372,-139440.452,-184773.920
0.045385,322897.541,-127494.634,-195402.907
0.045513,321056.970,-115342.019,-205714.950
0.045641,318695.643,-103002.319,-215693.323
0.045769,315817.390,-90495.549,-225321.840
0.045897,312426.880,-77841.995,-234584.885
0.046026,308529.613,-65062.181,-243467.432
0.046154,304131.910,-52176.836,-251955.074
0.046282,299240.903,-39206.860,-260034.044
0.046410,293864.527,-26173.290,-267691.237
0.046538,288011.502,-13097.267,-274914.235
0.046667,281691.320,-0.000,-281691.320
0.046795,274914.235,13097.267,-288011.502
0.046923,267691.237,26173.290,-293864.527
0.047051,260034.044,39206.860,-299240.903
0.047179,251955.074,52176.836,-304131.910
0.047308,243467.432,65062.181,-308529.613
0.047436,234584.885,77841.995,-312426.880
0.047564,225321.840,90495.549,-315817.390
0.047692,215693.323,103002.319,-318695.643
0.047821,205714.950,115342.019,-321056.970
0.047949,195402.907,127494.634,-322897.541
0.048077,184773.920,139440.452,-324214.372
0.048205,173845.229,151160.097,-325005.325
0.048333,162634.560,162634.560,-325269.119
0.048462,151160.097,173845.229,-325005.325
0.048590,139440.452,184773.920,-324214.372
0.048718,127494.634,195402.907,-322897.541
0.048846,115342.019,205714.950,-321056.970
0.048974,103002.319,215693.323,-318695.643
0.049103,90495.549,225321.840,-315817.390
0.049231,77841.995,234584.885,-312426.880
0.049359,65062.181,243467.432,-308529.613
0.049487,52176.836,251955.074,-304131.910
0.049615,39206.860,260034.044,-299240.903
0.049744,26173.290,267691.237,-293864.527
0.049872,13097.267,274914.235,-288011.502
0.050000,0.000,281691.320,-281691.320
0.050128,-13097.267,288011.502,-274914.235
0.050256,-26173.290,293864.527,-267691.237
0.050385,-39206.860,299240.903,-260034.044
0.050513,-52176.836,304131.910,-251955.074
0.050641,-65062.181,308529.613,-243467.432
0.050769,-77841.995,312426.880,-234584.885
0.050897,-90495.549,315817.390,-225321.840
0.051026,-103002.319,318695.643,-215693.323
0.051154,-115342.019,321056.970,-205714.950
0.051282,-127494.634,322897.541,-195402.907
0.051410,-139440.452,324214.372,-184773.920
0.051538,-151160.097,325005.325,-173845.229
0.051667,-162634.560,325269.119,-162634.560
0.051795,-173845.229,325005.325,-151160.097
0.051923,-184773.920,324214.372,-139440.452
0.052051,-195402.907,322897.541,-127494.634
0.052179,-205714.950,321056.970,-115342.019
0.052308,-215693.323,318695.643,-103002.319
0.052436,-225321.840,315817.390,-90495.549
0.052564,-234584.885,312426.880,-77841.995
0.052692,-243467.432,308529.613,-65062.181
0.052821,-251955.074,304131.910,-52176.836
0.052949,-260034.044,299240.903,-39206.860
0.053077,-267691.237,293864.527,-26173.290
0.053205,-274914.235,288011.502,-13097.267
0.053333,-281691.320,281691.320,-0.000
0.053462,-288011.502,274914.235,13097.267
0.053590,-293864.527,267691.237,26173.290
0.053718,-299240.903,260034.044,39206.860
0.053846,-304131.910,251955.074,52176.836
0.053974,-308529.613,243467.432,65062.181
0.054103,-312426.880,234584.885,77841.995
0.054231,-315817.390,225321.840,90495.549
0.054359,-318695.643,215693.323,103002.319
0.054487,-321056.970,205714.950,115342.019
0.054615,-322897.541,195402.907,127494.634
0.054744,-324214.372,184773.920,139440.452
0.054872,-325005.325,173845.229,151160.097
0.055000,-325269.119,162634.560,162634.560
0.055128,-325005.325,151160.097,173845.229
0.055256,-324214.372,139440.452,184773.920
0.055385,-322897.541,127494.634,195402.907
0.055513,-321056.970,115342.019,205714.950
0.055641,-318695.643,103002.319,215693.323
0.055769,-315817.390,90495.549,225321.840
0.055897,-312426.880,77841.995,234584.885
0.056026,-308529.613,65062.181,243467.432
0.056154,-304131.910,52176.836,251955.074
0.056282,-299240.903,39206.860,260034.044
0.056410,-293864.527,26173.290,267691.237
0.056538,-288011.502,13097.267,274914.235
0.056667,-281691.320,0.000,281691.320
0.056795,-274914.235,-13097.267,288011.502
0.056923,-267691.237,-26173.290,293864.527
0.057051,-260034.044,-39206.860,299240.903
0.057179,-251955.074,-52176.836,304131.910
0.057308,-243467.432,-65062.181,308529.613
0.057436,-234584.885,-77841.995,312426.880
0.057564,-225321.840,-90495.549,315817.390
0.057692,-215693.323,-103002.319,318695.643
0.057821,-205714.950,-115342.019,321056.970
0.057949,-195402.907,-127494.634,322897.541
0.058077,-184773.920,-139440.452,324214.372
0.058205,-173845.229,-151160.097,325005.325
0.058333,-162634.560,-162634.560,325269.119
0.058462,-151160.097,-173845.229,325005.325
0.058590,-139440.452,-184773.920,324214.372
0.058718,-127494.634,-195402.907,322897.541
0.058846,-115342.019,-205714.950,321056.970
0.058974,-103002.319,-215693.323,318695.643
0.059103,-90495.549,-225321.840,315817.390
0.059231,-77841.995,-234584.885,312426.880
0.059359,-65062.181,-243467.432,308529.613
0.059487,-52176.836,-251955.074,304131.910
0.059615,-39206.860,-260034.044,299240.903
0.059744,-26173.290,-267691.237,293864.527
0.059872,-13097.267,-274914.235,288011.502
0.060000,-0.000,-281691.320,281691.320
0.060128,13097.267,-288011.502,274914.235
0.060256,26173.290,-293864.527,267691.237
0.060385,39206.860,-299240.903,260034.044
0.060513,52176.836,-304131.910,251955.074
0.060641,65062.181,-308529.613,243467.432
0.060769,77841.995,-312426.880,234584.885
0.060897,90495.549,-315817.390,225321.840
0.061026,103002.319,-318695.643,215693.323
0.061154,115342.019,-321056.970,205714.950
0.061282,127494.634,-322897.541,195402.907
0.061410,139440.452,-324214.372,184773.920
0.061538,151160.097,-325005.325,173845.229
0.061667,162634.560,-325269.119,162634.560
0.061795,173845.229,-325005.325,151160.097
0.061923,184773.920,-324214.372,139440.452
0.062051,195402.907,-322897.541,127494.634
0.062179,205714.950,-321056.970,115342.019
0.062308,215693.323,-318695.643,103002.319
0.062436,225321.840,-315817.390,90495.549
0.062564,234584.885,-312426.880,77841.995
0.062692,243467.432,-308529.613,65062.181
0.062821,251955.074,-304131.910,52176.836
0.062949,260034.044,-299240.903,39206.860
0.063077,267691.237,-293864.527,26173.290
0.063205,274914.235,-288011.502,13097.267
0.063333,281691.320,-281691.320,0.000
0.063462,288011.502,-274914.235,-13097.267
0.063590,293864.527,-267691.237,-26173.290
0.063718,299240.903,-260034.044,-39206.860
0.063846,304131.910,-251955.074,-52176.836
0.063974,308529.613,-243467.432,-65062.181
0.064103,312426.880,-234584.885,-77841.995
0.064231,315817.390,-225321.840,-90495.549
0.064359,318695.643,-215693.323,-103002.319
0.064487,321056.970,-205714.950,-115342.019
0.064615,322897.541,-195402.907,-127494.634
0.064744,324214.372,-184773.920,-139440.452
0.064872,325005.325,-173845.229,-151160.097
0.065000,325269.119,-162634.560,-162634.560
0.065128,325005.325,-151160.097,-173845.229
0.065256,324214.372,-139440.452,-184773.920
0.065385,322897.541,-127494.634,-195402.907
0.065513,321056.970,-115342.019,-205714.950
0.065641,318695.643,-103002.319,-215693.323
0.065769,315817.390,-90495.549,-225321.840
0.065897,312426.880,-77841.995,-234584.885
0.066026,308529.613,-65062.181,-243467.432
0.066154,304131.910,-52176.836,-251955.074
0.066282,299240.903,-39206.860,-260034.044
0.066410,293864.527,-26173.290,-267691.237
0.066538,288011.502,-13097.267,-274914.235
0.066667,281691.320,-0.000,-281691.320
0.066795,274914.235,13097.267,-288011.502
0.066923,267691.237,26173.290,-293864.527
0.067051,260034.044,39206.860,-299240.903
0.067179,251955.074,52176.836,-304131.910
0.067308,243467.432,65062.181,-308529.613
0.067436,234584.885,77841.995,-312426.880
0.067564,225321.840,90495.549,-315817.390
0.067692,215693.323,103002.319,-318695.643
0.067821,205714.950,115342.019,-321056.970
0.067949,195402.907,127494.634,-322897.541
0.068077,184773.920,139440.452,-324214.372
0.068205,173845.229,151160.097,-325005.325
0.068333,162634.560,162634.560,-325269.119
0.068462,151160.097,173845.229,-325005.325
0.068590,139440.452,184773.920,-324214.372
0.068718,127494.634,195402.907,-322897.541
0.068846,115342.019,205714.950,-321056.970
0.068974,103002.319,215693.323,-318695.643
0.069103,90495.549,225321.840,-315817.390
0.069231,77841.995,234584.885,-312426.880
0.069359,65062.181,243467.432,-308529.613
0.069487,52176.836,251955.074,-304131.910
0.069615,39206.860,260034.044,-299240.903
0.069744,26173.290,267691.237,-293864.527
0.069872,13097.267,274914.235,-288011.502
0.070000,-0.000,281691.320,-281691.320
0.070128,-13097.267,288011.502,-274914.235
0.070256,-26173.290,293864.527,-267691.237
0.070385,-39206.860,299240.903,-260034.044
0.070513,-52176.836,304131.910,-251955.074
0.070641,-65062.181,308529.613,-243467.432
0.070769,-77841.995,312426.880,-234584.885
0.070897,-90495.549,315817.390,-225321.840
0.071026,-103002.319,318695.643,-215693.323
0.071154,-115342.019,321056.970,-205714.950
0.071282,-127494.634,322897.541,-195402.907
0.071410,-139440.452,324214.372,-184773.920
0.071538,-151160.097,325005.325,-173845.229
0.071667,-162634.560,325269.119,-162634.560
0.071795,-173845.229,325005.325,-151160.097
0.071923,-184773.920,324214.372,-139440.452
0.072051,-195402.907,322897.541,-127494.634
0.072179,-205714.950,321056.970,-115342.019
0.072308,-215693.323,318695.643,-103002.319
0.072436,-225321.840,315817.390,-90495.549
0.072564,-234584.885,312426.880,-77841.995
0.072692,-243467.432,308529.613,-65062.181
0.072821,-251955.074,304131.910,-52176.836
0.072949,-260034.044,299240.903,-39206.860
0.073077,-267691.237,293864.527,-26173.290
0.073205,-274914.235,288011.502,-13097.267
0.073333,-281691.320,281691.320,0.000
0.073462,-288011.502,274914.235,13097.267
0.073590,-293864.527,267691.237,26173.290
0.073718,-299240.903,260034.044,39206.860
0.073846,-304131.910,251955.074,52176.836
0.073974,-308529.613,243467.432,65062.181
0.074103,-312426.880,234584.885,77841.995
0.074231,-315817.390,225321.840,90495.549
0.074359,-318695.643,215693.323,103002.319
0.074487,-321056.970,205714.950,115342.019
0.074615,-322897.541,195402.907,127494.634
0.074744,-324214.372,184773.920,139440.452
0.074872,-325005.325,173845.229,151160.097
0.075000,-325269.119,162634.560,162634.560
0.075128,-325005.325,151160.097,173845.229
0.075256,-324214.372,139440.452,184773.920
0.075385,-322897.541,127494.634,195402.907
0.075513,-321056.970,115342.019,205714.950
0.075641,-318695.643,103002.319,215693.323
0.075769,-315817.390,90495.549,225321.840
0.075897,-312426.880,77841.995,234584.885
0.076026,-308529.613,65062.181,243467.432
0.076154,-304131.910,52176.836,251955.074
0.076282,-299240.903,39206.860,260034.044
0.076410,-293864.527,26173.290,267691.237
0.076538,-288011.502,13097.267,274914.235
0.076667,-281691.320,-0.000,281691.320
0.076795,-274914.235,-13097.267,288011.502
0.076923,-267691.237,-26173.290,293864.527
0.077051,-260034.044,-39206.860,299240.903
0.077179,-251955.074,-52176.836,304131.910
0.077308,-243467.432,-65062.181,308529.613
0.077436,-234584.885,-77841.995,312426.880
0.077564,-225321.840,-90495.549,315817.390
0.077692,-215693.323,-103002.319,318695.643
0.077821,-205714.950,-115342.019,321056.970
0.077949,-195402.907,-127494.634,322897.541
0.078077,-184773.920,-139440.452,324214.372
0.078205,-173845.229,-151160.097,325005.325
0.078333,-162634.560,-162634.560,325269.119
0.078462,-151160.097,-173845.229,325005.325
0.078590,-139440.452,-184773.920,324214.372
0.078718,-127494.634,-195402.907,322897.541
0.078846,-115342.019,-205714.950,321056.970
0.078974,-103002.319,-215693.323,318695.643
0.079103,-90495.549,-225321.840,315817.390
0.079231,-77841.995,-234584.885,312426.880
0.079359,-65062.181,-243467.432,308529.613
0.079487,-52176.836,-251955.074,304131.910
0.079615,-39206.860,-260034.044,299240.903
0.079744,-26173.290,-267691.237,293864.527
0.079872,-13097.267,-274914.235,288011.502
0.080000,0.000,-281691.320,281691.320
0.080128,13097.267,-288011.502,274914.235
0.080256,26173.290,-293864.527,267691.237
0.080385,39206.860,-299240.903,260034.044
0.080513,52176.836,-304131.910,251955.074
0.080641,65062.181,-308529.613,243467.432
0.080769,77841.995,-312426.880,234584.885
0.080897,90495.549,-315817.390,225321.840
0.081026,103002.319,-318695.643,215693.323
0.081154,115342.019,-321056.970,205714.950
0.081282,127494.634,-322897.541,195402.907
0.081410,139440.452,-324214.372,184773.920
0.081538,151160.097,-325005.325,173845.229
0.081667,162634.560,-325269.119,162634.560
0.081795,173845.229,-325005.325,151160.097
0.081923,184773.920,-324214.372,139440.452
0.082051,195402.907,-322897.541,127494.634
0.082179,205714.950,-321056.970,115342.019
0.082308,215693.323,-318695.643,103002.319
0.082436,225321.840,-315817.390,90495.549
0.082564,234584.885,-312426.880,77841.995
0.082692,243467.432,-308529.613,65062.181
0.082821,251955.074,-304131.910,52176.836
0.082949,260034.044,-299240.903,39206.860
0.083077,267691.237,-293864.527,26173.290
0.083205,274914.235,-288011.502,13097.267
